State ,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021
Connecticut,"48,880,678","48,574,247","48,051,106","47,340,814","47,886,445","47,814,044","83,028,443","68,812,528","68,725,197","68,416,807","67,685,083","76,539,607","69,008,193","67,443,025","68,966,916","79,587,195","80,155,166","80,955,204","91,942,886","92,981,986","92,360,682","92,117,783",--,--
Maine,"17,583,617","17,359,693","17,340,197","16,960,261","17,097,082","17,108,723","30,588,454","29,470,785","29,109,134","28,366,618","28,341,443","27,700,739","28,808,697","28,611,946","29,021,649","33,884,194","33,930,057","34,142,492","36,812,246","36,940,570","37,530,045","37,616,775",--,--
Massachusetts,"96,014,766","95,513,176","94,972,192","94,878,493","94,256,875","110,844,071","140,129,258","160,133,134","151,080,800","142,311,835","143,824,039","148,112,089","165,972,509","149,214,387","175,948,305","152,019,999","191,397,029","197,247,855","197,867,865","224,294,481","225,164,786","243,423,144",--,--
New Hampshire,"7,457,500","7,360,036","7,302,832","7,217,622","7,193,738","7,186,233","12,907,650","13,292,427","11,845,099","11,336,453","11,619,114","12,134,238","12,673,384","12,632,456","12,817,594","14,218,445","14,443,159","14,882,679","15,606,392","15,572,600","15,533,654","15,562,881",--,--
New York,"357,874,094","354,858,753","353,772,723","349,257,951","353,730,106","351,025,274","570,847,441","487,807,210","483,668,582","489,975,926","484,533,591","481,598,383","529,617,362","541,206,426","512,203,888","588,566,954","593,216,934","599,297,977","689,689,911","692,084,253","726,088,135","696,199,729",--,--
Rhode Island,"19,885,258","19,632,663","19,536,976","19,152,771","19,307,309","26,167,292","26,711,958","26,858,896","26,191,343","25,688,292","25,455,804","24,397,091","25,463,341","25,797,946","26,587,983","31,179,049","30,979,487","31,365,707","35,775,819","34,652,131","35,233,237","34,773,045",--,--
Vermont,"8,134,030","8,194,802","8,102,179","8,169,781","8,084,155","8,264,319","12,381,534","12,303,234","11,009,981","10,657,433","10,772,187","11,405,095","11,942,976","12,047,976","12,164,331","14,372,741","14,412,206","14,333,545","14,121,888","15,467,374","15,758,153","11,601,855",--,--
Virgin Islands,"3,614,852","3,512,765","3,524,364","3,456,416","3,410,092","3,357,818","4,841,793","5,358,498","5,618,053","5,580,290","5,565,126","5,661,884","5,664,026","5,490,888","5,421,808","6,330,409","6,536,862","6,589,258","7,243,980","7,246,312","7,335,194","7,272,365",--,--
Delaware,"14,271,107","13,787,845","13,483,861","13,844,732","13,537,666","20,134,501","21,508,838","21,362,064","20,438,035","20,074,162","20,644,753","22,013,385","22,173,058","21,419,395","21,846,234","24,580,986","23,062,622","24,258,637","25,857,902","23,256,427","24,882,021","25,837,875",--,--
District of Columbia,"14,432,527","14,254,278","14,290,862","13,897,499","13,894,171","13,803,347","26,142,491","21,778,586","22,163,978","23,054,504","23,703,997","23,855,703","25,418,245","26,607,572","26,432,091","31,314,773","31,717,273","23,016,405","44,475,020","34,651,159","35,437,099","33,904,374",--,--
Maryland,"71,998,307","71,785,160","65,531,770","68,583,275","68,812,571","68,300,009","120,192,942","146,979,907","154,853,359","149,482,824","145,093,253","139,254,553","130,686,229","145,968,847","151,471,098","174,727,020","186,574,930","181,527,636","181,391,239","194,531,433","190,004,063","205,674,883",--,--
New Jersey,"79,231,723","79,043,200","78,555,053","76,614,758","76,668,077","113,712,789","122,261,247","129,358,281","129,260,947","132,884,994","134,862,733","136,284,486","145,601,276","144,816,179","147,953,306","172,080,985","173,494,341","179,341,377","196,668,542","199,645,323","199,926,824","201,966,494",--,--
Pennsylvania,"209,491,513","200,370,688","204,570,139","205,401,448","202,603,211","203,795,413","408,006,184","325,404,162","335,132,967","317,594,519","316,443,959","320,356,259","331,645,348","305,967,512","300,138,134","371,229,463","371,876,798","372,985,391","464,644,350","796,461,089","617,525,076","409,784,032",--,--
Virginia,"82,765,093","81,790,358","82,045,013","79,795,580","80,671,756","118,442,321","130,352,196","133,859,181","134,701,663","136,256,560","135,069,411","135,273,855","141,227,940","140,440,889","139,787,088","158,773,589","162,326,320","159,684,913","171,748,550","153,321,794","155,901,798","171,206,525",--,--
West Virginia,"33,404,088","33,267,303","33,177,496","32,951,209","33,038,162","32,721,910","54,786,107","55,672,907","52,808,393","51,822,929","51,721,513","52,974,239","55,953,328","55,916,008","56,176,329","63,895,654","64,761,130","65,757,778","70,286,940","68,041,224","64,680,644","68,518,064",--,--
Alabama,"86,304,803","85,899,443","85,065,441","82,588,126","83,509,209","124,572,834","129,265,532","135,094,170","133,721,683","131,700,106","143,050,954","138,723,589","146,265,583","152,801,439","141,954,228","164,379,442","168,471,383","163,318,615","173,831,100","169,223,054","169,370,672","174,136,651",--,--
Florida,"334,868,432","331,524,432","326,593,249","316,802,427","313,710,600","479,340,696","565,140,910","640,968,555","664,108,520","671,359,231","675,832,212","687,292,802","682,827,040","649,246,272","648,082,306","738,019,267","717,632,056","707,378,671","700,182,421","844,682,803","651,900,499","741,838,226",--,--
Georgia,"172,363,745","170,305,494","166,421,891","162,945,341","163,011,617","246,518,632","257,663,115","293,234,518","301,769,895","309,666,008","315,767,175","321,718,867","320,286,150","314,290,076","304,845,181","317,716,274","312,896,922","386,998,396","330,677,292","361,903,973","357,800,696","342,567,346",--,--
