state,month,totalCovid,totalDeath,totalHospitalized
Alaska,20-Jan,7137,56,182
Alaska,20-Feb,3391,28,72
Alaska,20-Mar,1025,18,28
Alaska,20-Apr,227,6,26
Alaska,20-May,108,1,12
Alaska,20-Jun,481,4,18
Alaska,20-Jul,2049,9,83
Alaska,20-Aug,2293,14,90
Alaska,20-Sep,2603,19,74
Alaska,20-Oct,7423,26,140
Alaska,20-Nov,16011,39,270
Alaska,20-Dec,14138,85,298
Alabama,20-Jan,98413,2861,7675
Alabama,20-Feb,33613,2241,3569
Alabama,20-Mar,7548,232,548
Alabama,20-Apr,6038,256,978
Alabama,20-May,10884,362,866
Alabama,20-Jun,20142,319,925
Alabama,20-Jul,49678,630,7752
Alabama,20-Aug,38335,602,3746
Alabama,20-Sep,28643,358,2990
Alabama,20-Oct,37584,427,3193
Alabama,20-Nov,57239,611,4888
Alabama,20-Dec,111702,1249,8846
Arkansas,20-Jan,70130,1192,2252
Arkansas,20-Feb,27147,375,1153
Arkansas,20-Mar,2926,84,163
Arkansas,20-Apr,2732,53,402
Arkansas,20-May,3998,72,309
Arkansas,20-Jun,13524,137,702
Arkansas,20-Jul,21734,183,1439
Arkansas,20-Aug,18713,344,1361
Arkansas,20-Sep,22473,572,1141
Arkansas,20-Oct,28493,556,1684
Arkansas,20-Nov,45169,577,1899
Arkansas,20-Dec,67779,1174,2421
Arizona,20-Jan,238197,4256,15507
Arizona,20-Feb,58378,2860,4835
Arizona,20-Mar,10959,372,838
Arizona,20-Apr,6359,296,1403
Arizona,20-May,12288,586,1442
Arizona,20-Jun,59279,726,1357
Arizona,20-Jul,94795,2062,6524
Arizona,20-Aug,27825,1335,10145
Arizona,20-Sep,16672,621,714
Arizona,20-Oct,27439,329,-627
Arizona,20-Nov,80871,660,4294
Arizona,20-Dec,193390,2225,11471
California,20-Jan,997969,15311,0
California,20-Feb,232214,11282,0
California,20-Mar,33261,2298,0
California,20-Apr,41435,1829,0
California,20-May,61666,2231,0
California,20-Jun,118149,1767,0
California,20-Jul,264856,3025,0
California,20-Aug,210497,3928,0
California,20-Sep,106540,2859,0
California,20-Oct,111380,1834,0
California,20-Nov,290963,1515,0
California,20-Dec,1032411,6245,0
Colorado,20-Jan,62082,823,3235
Colorado,20-Feb,32124,314,1643
Colorado,20-Mar,11263,107,937
Colorado,20-Apr,12318,708,2188
Colorado,20-May,11094,668,1650
Colorado,20-Jun,6337,245,1142
Colorado,20-Jul,14094,148,952
Colorado,20-Aug,10615,107,587
Colorado,20-Sep,13112,106,540
Colorado,20-Oct,36814,234,1496
Colorado,20-Nov,125555,752,4424
Colorado,20-Dec,101192,1777,5110
Connecticut,20-Jan,64315,1051,0
Connecticut,20-Feb,29923,576,0
Connecticut,20-Mar,8512,151,0
Connecticut,20-Apr,24572,2188,0
Connecticut,20-May,14501,1687,12538
Connecticut,20-Jun,4313,378,-2270
Connecticut,20-Jul,3296,110,539
Connecticut,20-Aug,3069,33,373
Connecticut,20-Sep,4671,43,380
Connecticut,20-Oct,13657,108,-11560
Connecticut,20-Nov,46088,404,0
Connecticut,20-Dec,68413,975,0
District of Columbia,20-Jan,7889,127,0
District of Columbia,20-Feb,3726,104,0
District of Columbia,20-Mar,1316,22,0
District of Columbia,20-Apr,3828,215,0
District of Columbia,20-May,4478,242,0
District of Columbia,20-Jun,1526,85,0
District of Columbia,20-Jul,1799,34,0
District of Columbia,20-Aug,1866,22,0
District of Columbia,20-Sep,1334,20,0
District of Columbia,20-Oct,1940,19,0
District of Columbia,20-Nov,4286,34,0
District of Columbia,20-Dec,7431,106,0
Delaware,20-Jan,20615,164,0
Delaware,20-Feb,8728,332,0
Delaware,20-Mar,1874,63,0
Delaware,20-Apr,4415,198,0
Delaware,20-May,4764,258,0
Delaware,20-Jun,1976,41,0
Delaware,20-Jul,3314,76,0
Delaware,20-Aug,2641,20,0
Delaware,20-Sep,3184,31,0
Delaware,20-Oct,4338,72,0
Delaware,20-Nov,10703,64,0
Delaware,20-Dec,21802,154,0
Florida,20-Jan,389172,4925,9643
Florida,20-Feb,184454,4491,7188
Florida,20-Mar,40667,937,2488
Florida,20-Apr,26917,1213,4972
Florida,20-May,21981,1244,4658
Florida,20-Jun,95379,1070,4426
Florida,20-Jul,313468,3362,12026
Florida,20-Aug,153272,4365,12037
Florida,20-Sep,81422,3157,5666
Florida,20-Oct,93946,2481,5306
Florida,20-Nov,191373,1865,5640
Florida,20-Dec,317158,3156,8187
Georgia,20-Jan,242993,3264,8153
Georgia,20-Feb,97076,3097,5802
Georgia,20-Mar,20893,722,1591
Georgia,20-Apr,22226,1009,4323
Georgia,20-May,20831,922,2790
Georgia,20-Jun,34305,763,3105
Georgia,20-Jul,105061,947,7638
Georgia,20-Aug,84119,1880,5915
Georgia,20-Sep,47555,1389,3918
Georgia,20-Oct,42764,958,3177
Georgia,20-Nov,110773,1473,3125
Georgia,20-Dec,194889,1482,7260
Guam,20-Jan,270,7,0
Guam,20-Feb,149,2,0
Guam,20-Mar,79,4,0
Guam,20-Apr,77,3,0
Guam,20-May,27,0,0
Guam,20-Jun,86,0,0
Guam,20-Jul,97,0,0
Guam,20-Aug,1039,5,0
Guam,20-Sep,1093,39,0
Guam,20-Oct,2193,30,0
Guam,20-Nov,2171,33,0
Guam,20-Dec,465,10,0
Hawaii,20-Jan,4686,122,299
Hawaii,20-Feb,1808,29,147
Hawaii,20-Mar,577,6,24
Hawaii,20-Apr,409,16,57
Hawaii,20-May,38,1,14
Hawaii,20-Jun,249,1,28
Hawaii,20-Jul,1089,8,66
Hawaii,20-Aug,6350,37,328
Hawaii,20-Sep,4130,69,327
Hawaii,20-Oct,2747,84,265
Hawaii,20-Nov,3007,28,190
Hawaii,20-Dec,3609,44,481
Iowa,20-Jan,28385,1010,0
Iowa,20-Feb,12481,570,0
Iowa,20-Mar,2842,94,94
Iowa,20-Apr,6648,155,-94
Iowa,20-May,12407,372,0
