State ,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021
Connecticut,"213,305","212,893","211,588","212,256","212,069","211,990","222,008","225,676","225,622","225,789","222,119","219,073","213,541","210,279","213,589","215,623","218,820","220,100","220,041","221,469","219,465","217,064",--,--
Maine,"86,519","85,974","86,268","85,905","85,566","86,222","93,984","93,845","94,113","92,073","91,786","89,837","88,423","88,322","86,477","85,905","89,687","90,326","90,326","90,249","92,179","92,341",--,--
Massachusetts,"456,617","456,230","455,739","458,378","458,066","484,644","520,762","538,452","515,524","509,835","517,289","520,589","523,295","526,668","535,307","546,184","556,693","551,392","565,535","568,905","556,902","557,458",--,--
New Hampshire,"38,855","38,584","38,346","38,294","38,180","38,229","40,455","40,617","38,476","37,589","37,153","36,965","36,984","36,812","36,849","36,044","35,880","36,385","36,054","35,888","35,792","35,844",--,--
New York,"1,477,129","1,476,914","1,477,591","1,478,960","1,474,315","1,476,054","1,543,983","1,565,993","1,588,996","1,591,841","1,592,924","1,608,752","1,607,378","1,570,998","1,580,350","1,587,973","1,588,466","1,603,503","1,619,537","1,620,281","1,628,591","1,608,545",--,--
Rhode Island,"89,025","89,723","88,881","88,183","88,420","88,195","91,206","91,510","90,177","88,827","87,231","84,756","83,520","84,200","86,159","87,388","88,044","89,241","89,353","88,403","88,011","86,661",--,--
Vermont,"38,544","38,695","38,851","39,146","38,924","39,656","41,354","41,653","39,328","38,469","39,085","39,308","39,241","39,243","39,883","40,065","40,022","39,946","39,492","39,061","38,421","39,518",--,--
Virgin Islands,"10,517","10,284","10,251","10,026","9,731","9,757","10,670","11,516","12,065","12,301","12,430","12,611","11,836","11,304","11,288","11,626","11,853","12,042","12,106","12,161","12,233","12,149",--,--
Delaware,"59,858","58,485","58,128","58,666","56,868","56,597","61,772","63,337","59,929","59,181","60,931","63,261","61,142","59,423","59,306","58,556","55,532","55,596","56,136","56,826","56,642","57,062",--,--
District of Columbia,"65,717","65,263","64,949","66,439","64,245","63,623","69,907","72,654","74,750","76,605","78,560","80,454","81,877","82,915","84,479","85,979","87,235","88,380","88,531","87,000","86,360","84,460",--,--
