State ,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021
Connecticut,"364,659","363,535","360,523","360,832","360,031","360,128","379,936","387,217","387,097","386,966","380,909","375,825","365,607","360,157","365,498","368,684","373,747","376,924","376,581","379,351","376,195","372,661",--,--
Maine,"156,450","155,073","155,325","154,069","154,047","153,770","173,241","168,712","168,393","161,589","161,975","157,300","154,380","154,018","150,696","154,069","158,338","158,479","157,816","157,712","163,254","163,412",--,--
Massachusetts,"764,525","762,699","760,469","763,475","761,339","786,814","881,787","914,328","863,321","850,765","868,410","877,118","881,314","886,834","900,624","916,806","933,727","925,152","947,324","952,856","934,657","936,275",--,--
New Hampshire,"73,416","71,426","72,461","72,283","71,925","72,006","77,279","77,892","72,205","69,801","69,573","69,787","70,164","69,973","70,106","68,802","68,540","69,697","68,932","68,834","68,773","68,421",--,--
New York,"2,576,099","2,573,483","2,570,821","2,570,601","2,560,098","2,561,187","2,683,002","2,735,982","2,774,025","2,750,252","2,756,187","2,789,533","2,781,742","2,720,372","2,742,577","2,758,288","2,760,769","2,790,766","2,818,184","2,815,830","2,826,820","2,798,640",--,--
Rhode Island,"147,597","148,519","147,010","145,831","145,910","145,411","150,824","151,110","147,785","144,274","142,035","137,892","136,608","137,904","141,547","143,774","144,535","146,326","146,389","144,604","143,788","141,617",--,--
Vermont,"67,296","67,392","67,680","67,995","67,521","69,063","72,262","72,855","68,219","66,393","67,728","68,416","68,247","68,319","69,642","69,726","69,817","69,295","69,279","72,193","69,419","68,390",--,--
Virgin Islands,"21,752","21,318","21,270","20,792","20,172","20,228","21,990","23,429","24,368","24,728","24,957","25,235","23,832","22,852","22,813","23,495","23,914","24,244","24,332","24,449","24,547","24,359",--,--
Delaware,"121,987","118,796","118,115","119,235","115,616","114,978","126,014","128,826","118,312","116,311","120,609","126,197","122,298","119,290","119,525","118,049","112,425","113,352","113,565","114,739","114,123","114,941",--,--
District of Columbia,"111,043","110,471","109,420","108,307","108,570","105,039","115,293","119,478","122,584","125,635","129,186","131,844","134,659","136,823","139,735","142,325","143,407","143,937","143,260","141,238","139,783","139,065",--,--
Maryland,"612,751","610,581","604,287","598,415","591,474","594,828","689,530","781,868","844,933","854,133","833,691","795,255","697,144","759,660","797,909","824,762","843,794","857,165","850,513","848,382","835,449","854,993",--,--
New Jersey,"682,734","679,995","674,031","669,841","666,998","667,206","690,739","719,079","721,815","730,796","741,832","761,384","775,091","775,805","785,604","803,411","810,584","825,326","829,932","837,363","843,891","866,359",--,--
Pennsylvania,"1,744,319","1,741,549","1,725,850","1,725,978","1,728,680","1,732,446","1,843,929","1,899,944","1,891,660","1,821,999","1,826,611","1,852,391","1,841,766","1,810,277","1,447,615","1,799,807","1,795,163","1,783,981","1,782,922","1,778,560","1,771,130","1,777,407",--,--
Virginia,"695,004","691,545","693,276","683,541","679,702","687,984","746,608","767,020","773,719","785,411","782,261","778,370","766,549","758,435","759,082","753,264","758,962","759,165","751,227","747,502","748,319","753,638",--,--
West Virginia,"307,404","305,334","304,658","306,625","303,583","303,032","317,622","317,577","301,899","300,155","301,459","305,262","303,249","303,358","304,116","304,249","308,458","303,737","305,271","300,027","300,801","298,499",--,--
Alabama,"718,792","716,466","711,384","705,542","704,788","706,626","739,950","755,038","755,694","746,774","751,129","756,314","787,978","793,944","765,476","780,532","793,255","763,561","755,275","755,065","757,590","759,489",--,--
Florida,"2,779,312","2,765,924","2,731,271","2,683,906","2,634,689","2,634,892","3,123,525","3,527,762","3,731,605","3,793,271","3,834,528","3,886,747","3,672,011","3,510,072","3,462,997","3,465,806","3,343,701","3,299,396","3,270,866","3,332,113","3,334,019","3,290,398",--,--
Georgia,"1,370,779","1,369,503","1,348,944","1,339,728","1,342,625","1,408,652","1,613,967","1,721,474","1,754,892","1,806,766","1,839,348","1,874,541","1,770,106","1,725,595","1,694,533","1,736,230","1,734,395","1,644,201","1,605,345","1,577,535","1,561,708","1,501,689",--,--
Kentucky,"504,584","497,548","491,172","484,952","482,283","510,411","592,538","623,796","653,279","602,156","606,216","616,169","575,446","591,650","616,578","624,724","625,364","622,817","626,855","603,132","625,938","582,171",--,--
Mississippi,"440,496","438,943","432,407","425,453","423,981","421,180","456,724","471,453","439,388","393,263","399,561","411,965","419,494","423,243","426,404","418,086","411,421","415,606","411,720","411,430","412,366","418,316",--,--
North Carolina,"1,246,272","1,240,853","1,226,872","1,216,760","1,212,763","1,206,166","1,313,052","1,372,211","1,400,796","1,425,991","1,459,026","1,490,031","1,424,340","1,457,186","1,440,539","1,428,669","1,423,983","1,416,236","2,047,936","2,068,253","2,688,294","1,686,609",--,--
South Carolina,"585,252","581,080","575,587","571,309","567,732","568,652","592,738","624,819","638,952","615,572","617,334","614,905","611,862","604,551","599,027","604,551","610,090","612,863","609,831","602,657","604,124","606,295",--,--
Tennessee,"882,622","887,077","851,955","865,670","844,321","861,061","900,106","891,093","876,013","846,858","855,072","865,381","876,025","882,253","911,949","912,733","900,498","911,672","900,984","873,741","874,394","856,009",--,--
Illinois,"1,778,953","1,783,674","1,779,366","1,775,744","1,748,374","1,752,080","1,929,163","2,033,945","2,067,092","2,032,767","1,854,047","1,904,524","1,890,862","1,877,954","1,897,371","1,924,979","1,926,556","1,937,268","2,044,420","2,011,598","1,988,417","1,925,502",--,--
Indiana,"576,112","570,688","567,698","556,423","566,149","568,655","631,055","664,068","673,433","559,381","637,154","646,193","643,454","638,340","666,161","677,873","669,397","659,377","646,349","642,595","635,954","627,069",--,--
Iowa,"306,940","304,507","302,073","295,306","290,914","287,997","323,637","335,309","304,571","296,408","302,232","376,876","303,379","294,511","292,604","287,243","290,046","286,830","282,357","280,366","279,123","279,860",--,--
Michigan,"1,143,900","1,138,222","1,149,965","1,171,772","1,175,901","1,247,923","1,498,658","1,528,379","1,344,470","1,234,935","1,195,967","1,223,611","1,243,376","1,264,302","1,288,627","1,299,040","1,316,634","1,308,226","1,263,496","1,250,159","1,252,750","1,340,469",--,--
Minnesota,"398,706","393,885","392,140","391,756","391,164","391,236","430,692","442,567","445,309","434,640","427,558","451,755","453,361","453,162","460,852","469,979","477,650","479,856","480,775","464,770","465,353","452,449",--,--
Ohio,"1,380,490","1,374,527","1,373,772","1,377,403","1,365,936","1,374,108","1,382,485","1,390,914","1,403,021","1,538,558","1,399,895","1,401,212","1,498,880","1,464,612","1,456,030","1,536,645","1,532,847","1,535,731","1,535,325","1,539,008","1,542,770","1,497,379",--,--
Wisconsin,"606,036","602,506","600,206","600,864","600,269","607,188","668,008","696,751","689,684","687,380","702,042","707,583","703,029","721,732","738,300","757,139","757,280","769,699","789,604","790,292","790,890","788,566",--,--
Arizona,"795,313","784,993","776,402","782,194","782,903","790,961","843,738","879,292","890,285","898,875","915,512","860,912","842,358","816,014","842,716","884,716","907,158","920,868","933,819","954,765","917,398","875,323",--,--
Arkansas,"350,447","348,052","348,050","343,435","339,463","337,151","381,027","387,379","405,518","686,363","398,219","391,984","377,077","359,966","351,931","347,714","348,755","351,316","342,068","333,362","332,663","352,201",--,--
