"GeoName","Quarter","curDollarGDP"
"United States","2019.Q3",21540325
"United States","2019.Q4",21747394
"United States","2020.Q1",21561139
"United States","2020.Q2",19520114
"United States","2020.Q3",21170252
"United States","2020.Q4",21494731
"Alabama","2019.Q3",229328.2
"Alabama","2019.Q4",230750.1
"Alabama","2020.Q1",229831.4
"Alabama","2020.Q2",209852.3
"Alabama","2020.Q3",228062.3
"Alabama","2020.Q4",231736.3
"Alaska","2019.Q3",54449.9
"Alaska","2019.Q4",54674.7
"Alaska","2020.Q1",52864.4
"Alaska","2020.Q2",45644.4
"Alaska","2020.Q3",50412.9
"Alaska","2020.Q4",52065
"Arizona","2019.Q3",373173
"Arizona","2019.Q4",379018.8
"Arizona","2020.Q1",377475.9
"Arizona","2020.Q2",350140.9
"Arizona","2020.Q3",378296.5
"Arizona","2020.Q4",383930.5
"Arkansas","2019.Q3",131556.2
"Arkansas","2019.Q4",132596.4
"Arkansas","2020.Q1",131818
"Arkansas","2020.Q2",120812.4
"Arkansas","2020.Q3",130709.5
"Arkansas","2020.Q4",132955.6
"California","2019.Q3",3143837.3
"California","2019.Q4",3205000.1
"California","2020.Q1",3189702.6
"California","2020.Q2",2893053.9
"California","2020.Q3",3120386.1
"California","2020.Q4",3164343.4
"Colorado","2019.Q3",396839.6
"Colorado","2019.Q4",400863.4
"Colorado","2020.Q1",400041.2
"Colorado","2020.Q2",365008.7
"Colorado","2020.Q3",394271.4
"Colorado","2020.Q4",401073.6
"Connecticut","2019.Q3",288493.2
"Connecticut","2019.Q4",290703
"Connecticut","2020.Q1",288368.1
"Connecticut","2020.Q2",262708.3
"Connecticut","2020.Q3",283601.4
"Connecticut","2020.Q4",288923.4
"Delaware","2019.Q3",77275.7
"Delaware","2019.Q4",77879.4
"Delaware","2020.Q1",76283.2
"Delaware","2020.Q2",71610.5
"Delaware","2020.Q3",76468
"Delaware","2020.Q4",77688.1
"District of Columbia","2019.Q3",143764.8
"District of Columbia","2019.Q4",145278
"District of Columbia","2020.Q1",145727.8
"District of Columbia","2020.Q2",137972.4
"District of Columbia","2020.Q3",144653.3
"District of Columbia","2020.Q4",145777.4
"Florida","2019.Q3",1113170
"Florida","2019.Q4",1126510.3
"Florida","2020.Q1",1121367
"Florida","2020.Q2",1026676.3
"Florida","2020.Q3",1111613.8
"Florida","2020.Q4",1123895.8
"Georgia","2019.Q3",629465.7
"Georgia","2019.Q4",634137.5
"Georgia","2020.Q1",631345.6
"Georgia","2020.Q2",580731.7
"Georgia","2020.Q3",627666.8
"Georgia","2020.Q4",637215.9
"Hawaii","2019.Q3",96025.2
"Hawaii","2019.Q4",97001.1
"Hawaii","2020.Q1",95364.3
"Hawaii","2020.Q2",83429
"Hawaii","2020.Q3",89865.6
"Hawaii","2020.Q4",90765.7
"Idaho","2019.Q3",84333.4
"Idaho","2019.Q4",85791.1
"Idaho","2020.Q1",85835.1
"Idaho","2020.Q2",77384.1
"Idaho","2020.Q3",85551.6
"Idaho","2020.Q4",87358
"Illinois","2019.Q3",890357.8
"Illinois","2019.Q4",893355.5
"Illinois","2020.Q1",884447
"Illinois","2020.Q2",807383.5
"Illinois","2020.Q3",875671.3
"Illinois","2020.Q4",886565.2
"Indiana","2019.Q3",381578.6
"Indiana","2019.Q4",384871.7
"Indiana","2020.Q1",381901.9
"Indiana","2020.Q2",344033.2
"Indiana","2020.Q3",379292.5
"Indiana","2020.Q4",385319
"Iowa","2019.Q3",196116.7
"Iowa","2019.Q4",196247.4
"Iowa","2020.Q1",196502.8
"Iowa","2020.Q2",179037.3
"Iowa","2020.Q3",195352.8
"Iowa","2020.Q4",199947.8
"Kansas","2019.Q3",176953.6
"Kansas","2019.Q4",178605.1
"Kansas","2020.Q1",177917.3
"Kansas","2020.Q2",161464.3
"Kansas","2020.Q3",175465.2
"Kansas","2020.Q4",178346.5
"Kentucky","2019.Q3",216398.7
"Kentucky","2019.Q4",218426.1
"Kentucky","2020.Q1",216580.3
"Kentucky","2020.Q2",193877.8
"Kentucky","2020.Q3",213169.1
"Kentucky","2020.Q4",216469.5
"Louisiana","2019.Q3",257162.2
"Louisiana","2019.Q4",259079.3
"Louisiana","2020.Q1",250976.2
"Louisiana","2020.Q2",224129.4
"Louisiana","2020.Q3",244576.7
"Louisiana","2020.Q4",248280.7
"Maine","2019.Q3",68167.9
"Maine","2019.Q4",68984.9
"Maine","2020.Q1",68319.2
"Maine","2020.Q2",61496.3
"Maine","2020.Q3",67129.3
"Maine","2020.Q4",67839.3
"Maryland","2019.Q3",428649.7
"Maryland","2019.Q4",432997.8
"Maryland","2020.Q1",431771.8
"Maryland","2020.Q2",398609.3
"Maryland","2020.Q3",427615.8
"Maryland","2020.Q4",432908.5
"Massachusetts","2019.Q3",600545
"Massachusetts","2019.Q4",603209.6
"Massachusetts","2020.Q1",600740
"Massachusetts","2020.Q2",546546.3
"Massachusetts","2020.Q3",590307.1
"Massachusetts","2020.Q4",598562.5
"Michigan","2019.Q3",540585.8
"Michigan","2019.Q4",543489.4
"Michigan","2020.Q1",535152.9
"Michigan","2020.Q2",475493.9
"Michigan","2020.Q3",524828.2
"Michigan","2020.Q4",528238.1
"Minnesota","2019.Q3",385752.1
"Minnesota","2019.Q4",389503.7
"Minnesota","2020.Q1",384500.3
"Minnesota","2020.Q2",348033.8
"Minnesota","2020.Q3",379388.3
"Minnesota","2020.Q4",385484.7
"Mississippi","2019.Q3",116505.7
"Mississippi","2019.Q4",117642.3
"Mississippi","2020.Q1",117099.2
"Mississippi","2020.Q2",105681
"Mississippi","2020.Q3",115899.8
"Mississippi","2020.Q4",118122.3
"Missouri","2019.Q3",329899.7
"Missouri","2019.Q4",332659.7
"Missouri","2020.Q1",330286.5
"Missouri","2020.Q2",299130.6
"Missouri","2020.Q3",325841.3
"Missouri","2020.Q4",331576.5
"Montana","2019.Q3",53350.6
"Montana","2019.Q4",54034.7
"Montana","2020.Q1",53284.7
"Montana","2020.Q2",47721.4
"Montana","2020.Q3",51933.5
"Montana","2020.Q4",53015.4
"Nebraska","2019.Q3",131433.2
"Nebraska","2019.Q4",133201
"Nebraska","2020.Q1",132719.5
"Nebraska","2020.Q2",119692.3
"Nebraska","2020.Q3",129761.5
"Nebraska","2020.Q4",133061.6
"Nevada","2019.Q3",179655.6
"Nevada","2019.Q4",181751.6
"Nevada","2020.Q1",180034
"Nevada","2020.Q2",156421.3
"Nevada","2020.Q3",175509
"Nevada","2020.Q4",178426.2
"New Hampshire","2019.Q3",87840.4
"New Hampshire","2019.Q4",88014.8
"New Hampshire","2020.Q1",88126.5
"New Hampshire","2020.Q2",78691.2
"New Hampshire","2020.Q3",86319.2
"New Hampshire","2020.Q4",87300.2
"New Jersey","2019.Q3",638363.6
"New Jersey","2019.Q4",642967.7
"New Jersey","2020.Q1",641665.5
"New Jersey","2020.Q2",574017.5
"New Jersey","2020.Q3",625658.8
"New Jersey","2020.Q4",634902.6
"New Mexico","2019.Q3",106005
"New Mexico","2019.Q4",106914.4
"New Mexico","2020.Q1",104461.6
"New Mexico","2020.Q2",93367.1
"New Mexico","2020.Q3",100776.8
"New Mexico","2020.Q4",102635
"New York","2019.Q3",1779739.8
"New York","2019.Q4",1791566.8
"New York","2020.Q1",1778240
"New York","2020.Q2",1587879.2
"New York","2020.Q3",1705127
"New York","2020.Q4",1724932.8
"North Carolina","2019.Q3",595117.9
"North Carolina","2019.Q4",601787.9
"North Carolina","2020.Q1",600630.9
"North Carolina","2020.Q2",546775.7
"North Carolina","2020.Q3",594125.5
