,State,mY,stringencyIndex,governmentResponseIndex,containmentHealthIndex,economicSupportIndex
1,Alabama,Jan-20,0,1.949354839,2.111290323,0.806451613
2,Alabama,Feb-20,0,5.21,5.95,0
3,Alabama,Mar-20,38.57419355,33.89612903,36.66483871,14.51612903
4,Alabama,Apr-20,78.87366667,70.24933333,71.35566667,62.5
5,Alabama,May-20,66.78419355,65.95354839,66.44516129,62.5
6,Alabama,Jun-20,52.005,59.44566667,59.011,62.5
7,Alabama,Jul-20,50,58.89677419,58.49935484,61.69354839
8,Alabama,Aug-20,48.20903226,55.24354839,57.77774194,37.5
9,Alabama,Sep-20,43.95166667,52.845,55.03766667,37.5
10,Alabama,Oct-20,43.52,49.68129032,51.42032258,37.5
11,Alabama,Nov-20,43.52,47.4,48.81,37.5
12,Alabama,Dec-20,43.52,48.43806452,50.05548387,37.09677419
13,Alaska,Mar-20,47.75967742,40.47483871,41.87709677,30.64516129
14,Alaska,Apr-20,86.69733333,75.13566667,73.37533333,87.5
15,Alaska,May-20,69.35548387,66.09193548,63.03741935,87.5
16,Alaska,Jun-20,55.00066667,58.176,53.98733333,87.5
17,Alaska,Jul-20,57.08032258,58.50967742,54.48354839,86.69354839
18,Alaska,Aug-20,59.48129032,58.51774194,57.94612903,62.5
19,Alaska,Sep-20,56.02,59.9,59.52,62.5
20,Alaska,Oct-20,56.02,59.19322581,58.71387097,62.5
21,Alaska,Nov-20,56.02,55.106,55.95,49.16666667
22,Alaska,Dec-20,65.28,60.1,63.33,37.5
23,Arizona,Jan-20,5.56,8.851666667,9.52,4.166666667
24,Arizona,Feb-20,5.56,8.33,9.52,0
25,Arizona,Mar-20,34.76483871,28.7983871,29.91451613,20.96774194
26,Arizona,Apr-20,66.29533333,55.329,54.30333333,62.5
27,Arizona,May-20,63.59129032,56.13225806,55.22064516,62.5
28,Arizona,Jun-20,54.87666667,53.67866667,52.42066667,62.5
29,Arizona,Jul-20,58.33,58.43903226,57.86225806,62.5
30,Arizona,Aug-20,63.91709677,62.25870968,62.22387097,62.5
31,Arizona,Sep-20,59.26,59.64,59.23,62.5
32,Arizona,Oct-20,53.10322581,56.17451613,55.26612903,62.5
33,Arizona,Nov-20,52.59133333,57.342,56.61033333,62.5
34,Arizona,Dec-20,56.33387097,60.07419355,59.72903226,62.5
35,Arkansas,Jan-20,0,0,0,0
36,Arkansas,Mar-20,36.27357143,32.92535714,34.11928571,24.55357143
37,Arkansas,Apr-20,69.19333333,60.29733333,59.97666667,62.5
38,Arkansas,May-20,68.63516129,62.66741935,62.69354839,62.5
39,Arkansas,Jun-20,63.51466667,61.90166667,61.81666667,62.5
40,Arkansas,Jul-20,58.33,58.27129032,57.78451613,61.69354839
41,Arkansas,Aug-20,56.59935484,53.34096774,58.82903226,14.91935484
42,Arkansas,Sep-20,51.05333333,54.75933333,57.21933333,37.5
43,Arkansas,Oct-20,52.00419355,57.0383871,59.82709677,37.5
44,Arkansas,Nov-20,50.92533333,54.044,57.29866667,31.25
45,Arkansas,Dec-20,49.85,53.91064516,57.46387097,29.03225806
46,California,Jan-20,2.78,7.217142857,7.74,3.571428571
47,California,Feb-20,8.13862069,9.792068966,11.18689655,0
48,California,Mar-20,53.49645161,47.58064516,44.75709677,67.33870968
49,California,Apr-20,82.41,73.15233333,71.10466667,87.5
50,California,May-20,70.93645161,69.29741935,66.69354839,87.5
51,California,Jun-20,67.59,69.868,67.35,87.5
52,California,Jul-20,67.59,70.31,67.86,87.5
53,California,Aug-20,65.91870968,69.77322581,67.24483871,87.5
54,California,Sep-20,64.35,69.114,66.484,87.5
55,California,Oct-20,61.93,68.90935484,66.25290323,87.5
56,California,Nov-20,59.50933333,66.80866667,63.84633333,87.5
57,California,Dec-20,63.60870968,70.4816129,68.05322581,87.5
58,Colorado,Mar-20,43.84741935,39.64903226,38.74645161,45.96774194
59,Colorado,Apr-20,82.03933333,69.998,67.502,87.5
60,Colorado,May-20,76.19483871,68.21322581,65.45806452,87.5
61,Colorado,Jun-20,66.757,64.37766667,61.074,87.5
62,Colorado,Jul-20,61.11,62.40774194,58.93580645,86.69354839
63,Colorado,Aug-20,61.11,61.98,61.9,62.5
64,Colorado,Sep-20,58.39533333,58.508,57.93466667,62.5
65,Colorado,Oct-20,56.10967742,58.13774194,57.52,62.5
66,Colorado,Nov-20,57.41,59.38,58.93,62.5
67,Colorado,Dec-20,57.41,60.18129032,59.85258065,62.5
68,Connecticut,Feb-20,11.11,11.46,13.1,0
69,Connecticut,Mar-20,49.02774194,39.8616129,42.38709677,22.17741935
70,Connecticut,Apr-20,78.7,70.19233333,67.72066667,87.5
71,Connecticut,May-20,77.26774194,75.31935484,73.57967742,87.5
72,Connecticut,Jun-20,72.96133333,75.416,73.69,87.5
