State,Year,Month,Unemployment rate
Alabama,2020,1/1/20,2.7
Alabama,2020,2/1/20,2.6
Alabama,2020,3/1/20,2.6
Alabama,2020,4/1/20,13.2
Alabama,2020,5/1/20,7.9
Alabama,2020,6/1/20,7.7
Alabama,2020,7/1/20,7.4
Alabama,2020,8/1/20,7.1
Alabama,2020,9/1/20,6.7
Alabama,2020,10/1/20,4.7
Alabama,2020,11/1/20,4.7
Alabama,2020,12/1/20,4.7
Alaska,2020,1/1/20,5
Alaska,2020,2/1/20,5.1
Alaska,2020,3/1/20,5.1
Alaska,2020,4/1/20,11.8
Alaska,2020,5/1/20,11.6
Alaska,2020,6/1/20,11.3
Alaska,2020,7/1/20,11
Alaska,2020,8/1/20,7.2
Alaska,2020,9/1/20,7
Alaska,2020,10/1/20,6.5
Alaska,2020,11/1/20,6.5
Alaska,2020,12/1/20,6.5
Arizona,2020,1/1/20,4.8
Arizona,2020,2/1/20,4.9
Arizona,2020,3/1/20,5
Arizona,2020,4/1/20,14.2
Arizona,2020,5/1/20,10.6
Arizona,2020,6/1/20,10.7
Arizona,2020,7/1/20,10.4
Arizona,2020,8/1/20,7
Arizona,2020,9/1/20,6.9
Arizona,2020,10/1/20,6.8
Arizona,2020,11/1/20,6.8
Arizona,2020,12/1/20,6.8
Arkansas,2020,1/1/20,3.7
Arkansas,2020,2/1/20,3.8
Arkansas,2020,3/1/20,3.9
Arkansas,2020,4/1/20,10
Arkansas,2020,5/1/20,8.5
Arkansas,2020,6/1/20,7.8
Arkansas,2020,7/1/20,7.1
Arkansas,2020,8/1/20,6.5
Arkansas,2020,9/1/20,5.9
Arkansas,2020,10/1/20,5.6
Arkansas,2020,11/1/20,5.3
Arkansas,2020,12/1/20,4.9
California,2020,1/1/20,4.2
California,2020,2/1/20,4.3
California,2020,3/1/20,4.5
California,2020,4/1/20,16
California,2020,5/1/20,15.6
California,2020,6/1/20,14.1
California,2020,7/1/20,13.2
California,2020,8/1/20,12.3
California,2020,9/1/20,10.6
California,2020,10/1/20,9.8
California,2020,11/1/20,8.7
California,2020,12/1/20,9.3
Colorado,2020,1/1/20,2.7
Colorado,2020,2/1/20,2.8
Colorado,2020,3/1/20,4.7
Colorado,2020,4/1/20,12.1
Colorado,2020,5/1/20,11.6
Colorado,2020,6/1/20,11.3
Colorado,2020,7/1/20,7.4
Colorado,2020,8/1/20,7.1
Colorado,2020,9/1/20,7
Colorado,2020,10/1/20,6.9
Colorado,2020,11/1/20,6.9
Colorado,2020,12/1/20,6.9
Connecticut,2020,1/1/20,3.7
Connecticut,2020,2/1/20,3.7
Connecticut,2020,3/1/20,3.8
Connecticut,2020,4/1/20,8.6
Connecticut,2020,5/1/20,11.4
Connecticut,2020,6/1/20,11.4
Connecticut,2020,7/1/20,11.3
Connecticut,2020,8/1/20,8.4
Connecticut,2020,9/1/20,8.3
Connecticut,2020,10/1/20,8.2
Connecticut,2020,11/1/20,8.2
Connecticut,2020,12/1/20,8.2
Delaware,2020,1/1/20,4.3
Delaware,2020,2/1/20,4.5
Delaware,2020,3/1/20,4.8
Delaware,2020,4/1/20,13.4
Delaware,2020,5/1/20,13.3
Delaware,2020,6/1/20,12.9
Delaware,2020,7/1/20,8.3
Delaware,2020,8/1/20,7.9
Delaware,2020,9/1/20,7.6
Delaware,2020,10/1/20,5.7
Delaware,2020,11/1/20,5.8
Delaware,2020,12/1/20,5.9
District of Columbia,2020,1/1/20,4.9
District of Columbia,2020,2/1/20,5
District of Columbia,2020,3/1/20,5.2
District of Columbia,2020,4/1/20,11.1
District of Columbia,2020,5/1/20,8.9
District of Columbia,2020,6/1/20,8.9
District of Columbia,2020,7/1/20,8.9
District of Columbia,2020,8/1/20,8.8
District of Columbia,2020,9/1/20,8.7
District of Columbia,2020,10/1/20,8.8
District of Columbia,2020,11/1/20,8.8
District of Columbia,2020,12/1/20,8.8
Florida,2020,1/1/20,3.3
Florida,2020,2/1/20,3.3
Florida,2020,3/1/20,4.9
Florida,2020,4/1/20,14
Florida,2020,5/1/20,14.2
Florida,2020,6/1/20,11.6
Florida,2020,7/1/20,11.5
Florida,2020,8/1/20,7.9
Florida,2020,9/1/20,7.2
Florida,2020,10/1/20,5.8
Florida,2020,11/1/20,5.4
Florida,2020,12/1/20,5.1
Georgia,2020,1/1/20,3.3
Georgia,2020,2/1/20,3.5
Georgia,2020,3/1/20,3.6
Georgia,2020,4/1/20,12.5
Georgia,2020,5/1/20,9.4
Georgia,2020,6/1/20,8.4
Georgia,2020,7/1/20,7.6
Georgia,2020,8/1/20,7
Georgia,2020,9/1/20,6.5
Georgia,2020,10/1/20,5.9
Georgia,2020,11/1/20,5.6
Georgia,2020,12/1/20,5.3
Hawaii,2020,1/1/20,2
Hawaii,2020,2/1/20,2.1
Hawaii,2020,3/1/20,2.1
Hawaii,2020,4/1/20,21.9
Hawaii,2020,5/1/20,21.9
Hawaii,2020,6/1/20,14.1
Hawaii,2020,7/1/20,14.1
Hawaii,2020,8/1/20,14.1
Hawaii,2020,9/1/20,14.8
Hawaii,2020,10/1/20,14
Hawaii,2020,11/1/20,10.3
Hawaii,2020,12/1/20,10.3
Idaho,2020,1/1/20,2.6
